w={'en': 2, 'hi': 6, 'te': 4, 'mai': 1} en=0.6455 hi=0.5223 te=0.6534 mai=0.7025 spread=0.18021 score=5549 under1.2=True
w={'en': 2, 'hi': 6, 'te': 4, 'mai': 2} en=0.6468 hi=0.5213 te=0.6554 mai=0.6834 spread=0.16209 score=6170 under1.2=True
w={'en': 2, 'hi': 6, 'te': 4, 'mai': 3} en=0.6491 hi=0.5204 te=0.6576 mai=0.6212 spread=0.13715 score=7291 under1.2=True
w={'en': 2, 'hi': 6, 'te': 5, 'mai': 1} en=0.6507 hi=0.5234 te=0.6355 mai=0.7073 spread=0.18391 score=5437 under1.2=True
w={'en': 2, 'hi': 6, 'te': 5, 'mai': 2} en=0.6523 hi=0.5225 te=0.6369 mai=0.6916 spread=0.16917 score=5911 under1.2=True
w={'en': 2, 'hi': 6, 'te': 5, 'mai': 3} en=0.6529 hi=0.5227 te=0.6380 mai=0.6477 spread=0.13022 score=7679 under1.2=True
w={'en': 2, 'hi': 6, 'te': 6, 'mai': 1} en=0.6650 hi=0.5278 te=0.5985 mai=0.7288 spread=0.20101 score=4975 under1.2=True
w={'en': 2, 'hi': 6, 'te': 6, 'mai': 2} en=0.6652 hi=0.5281 te=0.5989 mai=0.6997 spread=0.17162 score=5827 under1.2=True
w={'en': 2, 'hi': 6, 'te': 6, 'mai': 3} en=0.6658 hi=0.5286 te=0.6002 mai=0.6558 spread=0.13713 score=7292 under1.2=True
w={'en': 3, 'hi': 3, 'te': 3, 'mai': 1} en=0.5813 hi=0.5940 te=0.6824 mai=0.7545 spread=0.17314 score=5776 under1.2=True
w={'en': 3, 'hi': 3, 'te': 3, 'mai': 2} en=0.5820 hi=0.5934 te=0.6834 mai=0.7159 spread=0.13389 score=7469 under1.2=True
w={'en': 3, 'hi': 3, 'te': 3, 'mai': 3} en=0.5833 hi=0.5934 te=0.6856 mai=0.6536 spread=0.10228 score=9777 under1.2=True
w={'en': 3, 'hi': 3, 'te': 4, 'mai': 1} en=0.5891 hi=0.5994 te=0.6358 mai=0.7553 spread=0.16625 score=6015 under1.2=True
w={'en': 3, 'hi': 3, 'te': 4, 'mai': 2} en=0.5897 hi=0.5993 te=0.6357 mai=0.7195 spread=0.12980 score=7704 under1.2=True
w={'en': 3, 'hi': 3, 'te': 4, 'mai': 3} en=0.5912 hi=0.5998 te=0.6358 mai=0.6598 spread=0.06856 score=14585 under1.2=True
w={'en': 3, 'hi': 3, 'te': 5, 'mai': 1} en=0.5948 hi=0.6088 te=0.6001 mai=0.7648 spread=0.17000 score=5882 under1.2=True
w={'en': 3, 'hi': 3, 'te': 5, 'mai': 2} en=0.5948 hi=0.6067 te=0.6051 mai=0.7316 spread=0.13682 score=7309 under1.2=True
w={'en': 3, 'hi': 3, 'te': 5, 'mai': 3} en=0.5949 hi=0.6056 te=0.6121 mai=0.6692 spread=0.07437 score=13446 under1.2=True
w={'en': 3, 'hi': 3, 'te': 6, 'mai': 1} en=0.5966 hi=0.6110 te=0.5924 mai=0.7693 spread=0.17687 score=5654 under1.2=True
w={'en': 3, 'hi': 3, 'te': 6, 'mai': 2} en=0.5970 hi=0.6110 te=0.5926 mai=0.7435 spread=0.15082 score=6630 under1.2=True
w={'en': 3, 'hi': 3, 'te': 6, 'mai': 3} en=0.5987 hi=0.6104 te=0.5932 mai=0.6822 spread=0.08897 score=11239 under1.2=True
w={'en': 3, 'hi': 4, 'te': 3, 'mai': 1} en=0.5949 hi=0.5630 te=0.6993 mai=0.7443 spread=0.18136 score=5514 under1.2=True
w={'en': 3, 'hi': 4, 'te': 3, 'mai': 2} en=0.5948 hi=0.5639 te=0.6995 mai=0.7145 spread=0.15066 score=6637 under1.2=True
w={'en': 3, 'hi': 4, 'te': 3, 'mai': 3} en=0.5949 hi=0.5665 te=0.7002 mai=0.6484 spread=0.13364 score=7483 under1.2=True
w={'en': 3, 'hi': 4, 'te': 4, 'mai': 1} en=0.5943 hi=0.5746 te=0.6633 mai=0.7457 spread=0.17111 score=5844 under1.2=True
w={'en': 3, 'hi': 4, 'te': 4, 'mai': 2} en=0.5939 hi=0.5756 te=0.6635 mai=0.7233 spread=0.14768 score=6771 under1.2=True
w={'en': 3, 'hi': 4, 'te': 4, 'mai': 3} en=0.5955 hi=0.5757 te=0.6646 mai=0.6565 spread=0.08888 score=11251 under1.2=True
w={'en': 3, 'hi': 4, 'te': 5, 'mai': 1} en=0.5998 hi=0.5785 te=0.6346 mai=0.7483 spread=0.16974 score=5891 under1.2=True
w={'en': 3, 'hi': 4, 'te': 5, 'mai': 2} en=0.6006 hi=0.5776 te=0.6347 mai=0.7240 spread=0.14645 score=6828 under1.2=True
w={'en': 3, 'hi': 4, 'te': 5, 'mai': 3} en=0.6025 hi=0.5769 te=0.6349 mai=0.6679 spread=0.09099 score=10991 under1.2=True
w={'en': 3, 'hi': 4, 'te': 6, 'mai': 1} en=0.6103 hi=0.5826 te=0.5951 mai=0.7569 spread=0.17426 score=5738 under1.2=True
